cod,Escola,Turma,Serie,Nivel,Sexo,Idade,Cor.Raca,Zona,Necessidade.Deficiencia,id,Stari.Grupo,WG.Grupo,vocab.pre,vocab.pos,score.tde.pre,score.tde.pos,TFL.lidas.per.min.pre,TFL.erradas.per.min.pre,TFL.omitidas.per.min.pre,TFL.corretas.per.min.pre,TFL.lidas.pre,TFL.erradas.pre,TFL.omitidas.pre,TFL.corretas.pre,leitura.compreensao.pre,TFL.lidas.per.min.pos,TFL.erradas.per.min.pos,TFL.omitidas.per.min.pos,TFL.corretas.per.min.pos,TFL.lidas.pos,TFL.erradas.pos,TFL.omitidas.pos,TFL.corretas.pos,leitura.compreensao.pos,dfs.media.read,fss.media.read,dfs.media.math,fss.media.math,dfs.media.text,fss.media.text,dfs.media.debat,fss.media.debat,gain.vocab,gain.score.tde,gain.TFL.lidas.per.min,gain.TFL.corretas.per.min,gain.TFL.lidas,gain.TFL.corretas,gain.leitura.compreensao,gain.flow.read,gain.flow.math,gain.flow.text,gain.flow.debat,vocab.quintile,score.tde.quintile,TFL.lidas.per.min.quintile,TFL.erradas.per.min.quintile,TFL.omitidas.per.min.quintile,TFL.corretas.per.min.quintile,TFL.lidas.quintile,TFL.erradas.quintile,TFL.omitidas.quintile,TFL.corretas.quintile,leitura.compreensao.quintile
0020e679f5ed3a8a36e7bd8a609389c4,EMEB PROFESSOR RICARDO VIEIRA DE LIMA,8 ANO A,8 ano,anos finais,M,13,,,,P2055,,Experimental,9,,41,,,,,,,,,,,,,,,,,,,,,3,,3.777777778,,2.777777778,,2.777777778,,,,,,,,,,,,1st quintile,3rd quintile,,,,,,,,,
003e99fe00c45d752ec987a57d5fb58c,EMEB PROFESSOR RICARDO VIEIRA DE LIMA,6 ANO A,6 ano,anos finais,M,11,,,,P1609,,Experimental,22,27,24,,,,,,,,,,,,,,,,,,,,4,3.888888889,4,4.111111111,4,4.166666667,4,4.333333333,5,,,,,,,-0.111111111,0.111111111,0.166666667,0.333333333,2nd quintile,2nd quintile,,,,,,,,,
005763775ec537f6988f9d75a1fdf254,EMEB NATANAEL DA SILVA,9 ANO A,9 ano,anos finais,F,14,Indígena,Rural,,P604,,Experimental,34,32,53,52,,,,,,,,,,,,,,,,,,,3.888888889,3.222222222,3.555555556,3.444444444,3.222222222,3.777777778,3.444444444,3.888888889,-2,-1,,,,,,-0.666666667,-0.111111111,0.555555556,0.444444444,4th quintile,5th quintile,,,,,,,,,
006e62bc22b7b81adf123d1f9ad9e096,EMEF PADRE JOSE DOS SANTOS MOUSINHO,8 A,8 ano,anos finais,F,15,Indígena,Rural,,P3599,,Controle,34,38,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,4th quintile,4th quintile,,,,,,,,,
0074496aa71dfe5dec722e2ec154de74,EMEB PROFESSOR RICARDO VIEIRA DE LIMA,9 ANO D,9 ano,anos finais,F,14,,,,P2432,,Experimental,38,43,64,64,,,,,,,,,,,,,,,,,,,4.111111111,4.111111111,3.555555556,4.555555556,3.666666667,4.444444444,3.888888889,4.666666667,5,0,,,,,,0,1,0.777777778,0.777777778,5th quintile,5th quintile,,,,,,,,,
00968221185523cb377dff6eac241b53,EMEF PADRE JOSE DOS SANTOS MOUSINHO,6 A,6 ano,anos finais,M,11,Parda,Rural,,P3477,,Experimental,15,27,17,29,,,,,,,,,,,,,,,,,,,3.555555556,2.888888889,3.777777778,3.222222222,3,3.555555556,3.555555556,3.444444444,12,12,,,,,,-0.666666667,-0.555555556,0.555555556,-0.111111111,1st quintile,1st quintile,,,,,,,,,
00aea9dca3b8f6174244400a331e0bf1,EMEB PADRE ANCHIETA,6 ANO B,6 ano,anos finais,F,11,Branca,Rural,,P860,,Experimental,25,,15,17,,,,,,,,,,,,,,,,,,,2.777777778,3.625,3.555555556,3.444444444,2.222222222,4.375,2.555555556,4.555555556,,2,,,,,,0.847222222,-0.111111111,2.152777778,2,3rd quintile,1st quintile,,,,,,,,,
00d664650ec6e3ed013e9d745bed7d95,EMEB PROFESSOR RICARDO VIEIRA DE LIMA,6 ANO E,6 ano,anos finais,M,13,,,,P1770,,Controle,10,,,9,,,,,,,,,,,,,,,,,,,,2.75,,3.142857143,,3,,2.666666667,,,,,,,,,,,,1st quintile,,,,,,,,,,
00dfa1a4cb85621dfdab758dc6e6d115,EMEB PROFESSORA MARIA QUEIROZ FERRO,9 ANO A,9 ano,anos finais,F,14,,,,P3240,,Controle,,24,11,28,,,,,,,,,,,,,,,,,,,3.888888889,3.222222222,3.777777778,3,3.333333333,2.888888889,3.555555556,3.222222222,,17,,,,,,-0.666666667,-0.777777778,-0.444444444,-0.333333333,,1st quintile,,,,,,,,,
012f30d496227acd29d455c759a42c6d,EMEB PADRE ANCHIETA,7 ANO C,7 ano,anos finais,F,12,,Rural,,P963,,Controle,15,23,13,5,,,,,,,,,,,,,,,,,,,2.888888889,3.777777778,3.444444444,3.333333333,3.111111111,3.555555556,,3.333333333,8,-8,,,,,,0.888888889,-0.111111111,0.444444444,,1st quintile,1st quintile,,,,,,,,,
