"","X","cod","Escola","Turma","Serie","Nivel","Sexo","Idade","Cor.Raca","Zona","Necessidade.Deficiencia","id","Stari.Grupo","WG.Grupo","vocab.pre","vocab.pos","score.tde.pre","score.tde.pos","TFL.lidas.per.min.pre","TFL.erradas.per.min.pre","TFL.omitidas.per.min.pre","TFL.corretas.per.min.pre","TFL.lidas.pre","TFL.erradas.pre","TFL.omitidas.pre","TFL.corretas.pre","leitura.compreensao.pre","TFL.lidas.per.min.pos","TFL.erradas.per.min.pos","TFL.omitidas.per.min.pos","TFL.corretas.per.min.pos","TFL.lidas.pos","TFL.erradas.pos","TFL.omitidas.pos","TFL.corretas.pos","leitura.compreensao.pos","dfs.media.read","fss.media.read","dfs.media.math","fss.media.math","dfs.media.text","fss.media.text","dfs.media.debat","fss.media.debat","gain.vocab","gain.score.tde","gain.TFL.lidas.per.min","gain.TFL.corretas.per.min","gain.TFL.lidas","gain.TFL.corretas","gain.leitura.compreensao","gain.flow.read","gain.flow.math","gain.flow.text","gain.flow.debat","vocab.quintile","score.tde.quintile","TFL.lidas.per.min.quintile","TFL.erradas.per.min.quintile","TFL.omitidas.per.min.quintile","TFL.corretas.per.min.quintile","TFL.lidas.quintile","TFL.erradas.quintile","TFL.omitidas.quintile","TFL.corretas.quintile","leitura.compreensao.quintile"
"0134270d774eb2b54773df7b36458566",1,"0134270d774eb2b54773df7b36458566","EMEF PADRE JOSE DOS SANTOS MOUSINHO","8 A","8 ano","anos finais","M",13,"Parda","Rural",NA,"P3606","Experimental",NA,19,30,39,NA,54,3,1,51,452,17,2,435,8,75,2,1,73,452,8,1,444,4,3.44444444444445,3.55555555555555,3.44444444444445,3.55555555555555,3.11111111111111,3.44444444444445,3.11111111111111,3.55555555555555,11,NA,21,22,0,9,-4,0.111111111111111,0.111111111111111,0.333333333333333,0.444444444444444,"2nd quintile","3rd quintile","1st quintile","4th quintile","5th quintile","1st quintile","3rd quintile","5th quintile","4th quintile","1st quintile","5th quintile"
"0207faedeb5e28f4e1f2b55915aa6b99",2,"0207faedeb5e28f4e1f2b55915aa6b99","EMEB PADRE ANCHIETA","8 ANO A","8 ano","anos finais","M",14,"Parda","Rural",NA,"P1010","Controle",NA,16,15,21,23,68,2,0,86,452,7,0,445,7,70,2,0,68,452,4,0,448,4,2.77777777777778,2.55555555555555,2.88888888888889,2.44444444444445,3,3.11111111111111,4.66666666666667,3,-1,2,2,-18,0,3,-3,-0.222222222222222,-0.444444444444444,0.111111111111111,-1.66666666666667,"1st quintile","2nd quintile","2nd quintile","3rd quintile","3rd quintile","3rd quintile","3rd quintile","4th quintile","3rd quintile","2nd quintile","5th quintile"
"0422fb607db46d636b3d19a43bdbaf70",3,"0422fb607db46d636b3d19a43bdbaf70","EMEB PADRE ANCHIETA","6 ANO A","6 ano","anos finais","M",11,"Parda","Rural",NA,"P829","Experimental",NA,27,35,21,26,82,2,0,80,452,2,0,450,8,95,1,0,94,452,1,0,451,8,4.11111111111111,3.77777777777778,4,3.22222222222222,4.44444444444444,3.77777777777778,4.44444444444444,3.66666666666667,8,5,13,14,0,1,0,-0.333333333333333,-0.777777777777778,-0.666666666666667,-0.777777777777778,"3rd quintile","2nd quintile","2nd quintile","3rd quintile","3rd quintile","2nd quintile","3rd quintile","2nd quintile","3rd quintile","4th quintile","5th quintile"
"057b2266381d7acd0cea8c15006bc8f9",4,"057b2266381d7acd0cea8c15006bc8f9","EMEB PROFESSOR RICARDO VIEIRA DE LIMA","9 ANO C","9 ano","anos finais","M",15,NA,"Rural",NA,"P2378","Controle",NA,21,30,25,21,54,1,NA,53,NA,NA,NA,NA,6,149,1,NA,148,452,1,NA,451,5,3.22222222222222,2.77777777777778,3.22222222222222,3.22222222222222,2.77777777777778,2.55555555555555,3.22222222222222,3.55555555555555,9,-4,95,95,NA,NA,-1,-0.444444444444445,0,-0.222222222222222,0.333333333333333,"2nd quintile","2nd quintile","1st quintile","3rd quintile",NA,"1st quintile",NA,NA,NA,NA,"4th quintile"
"08222ace92af4946cf0c9f4c2ef076f2",5,"08222ace92af4946cf0c9f4c2ef076f2","EMEF PADRE JOSE DOS SANTOS MOUSINHO","8 A","8 ano","anos finais","M",16,"Parda","Rural",NA,"P3609","Controle",NA,17,22,34,NA,95,3,19,92,452,11,19,441,5,81,0,0,81,452,0,0,452,7,2.88888888888889,3.55555555555555,2.33333333333333,3.66666666666667,2.55555555555555,3.66666666666667,2.22222222222222,3.66666666666667,5,NA,-14,-11,0,11,2,0.666666666666667,1.33333333333333,1.11111111111111,1.44444444444444,"2nd quintile","3rd quintile","3rd quintile","4th quintile","5th quintile","3rd quintile","3rd quintile","5th quintile","5th quintile","2nd quintile","3rd quintile"
"098c6820d949b04e87e813749f45150f",7,"098c6820d949b04e87e813749f45150f","EMEB NATANAEL DA SILVA","9 ANO B","9 ano","anos finais","M",15,"Branca","Rural",NA,"P613","Experimental",NA,23,32,46,50,95,0,0,95,452,1,0,451,4,110,0,1,109,452,0,1,451,9,3.77777777777778,3,3.66666666666667,3.22222222222222,3.33333333333333,2.88888888888889,3.44444444444445,3.11111111111111,9,4,15,14,0,0,5,-0.777777777777778,-0.444444444444444,-0.444444444444445,-0.333333333333333,"3rd quintile","4th quintile","3rd quintile","2nd quintile","3rd quintile","4th quintile","3rd quintile","1st quintile","3rd quintile","5th quintile","3rd quintile"
"0b97f26a25a26031e27aed3c6ef1eb43",8,"0b97f26a25a26031e27aed3c6ef1eb43","EMEB NATANAEL DA SILVA","6 ANO A","6 ano","anos finais","M",12,"Parda","Rural",NA,"P451","Experimental",NA,17,15,25,17,96,1,0,95,452,3,0,449,5,106,0,0,106,452,4,0,448,7,4,3.33333333333333,3,3.33333333333333,2.77777777777778,3.33333333333333,3.33333333333333,3.11111111111111,-2,-8,10,11,0,-1,2,-0.666666666666667,0.333333333333333,0.555555555555556,-0.222222222222222,"2nd quintile","2nd quintile","4th quintile","3rd quintile","3rd quintile","4th quintile","3rd quintile","3rd quintile","3rd quintile","3rd quintile","3rd quintile"
"0c3a3e800e7a58152fcb90f911ea8ada",9,"0c3a3e800e7a58152fcb90f911ea8ada","EMEB PROFESSOR RICARDO VIEIRA DE LIMA","6 ANO D","6 ano","anos finais","F",11,NA,"Rural",NA,"P1711","Controle",NA,12,21,20,18,40,1,NA,39,NA,NA,NA,NA,6,105,1,NA,104,452,1,NA,452,4,2.33333333333333,3.11111111111111,2.77777777777778,3.22222222222222,NA,3,2.77777777777778,3,9,-2,65,65,NA,NA,-2,0.777777777777778,0.444444444444445,NA,0.222222222222222,"1st quintile","2nd quintile","1st quintile","3rd quintile",NA,"1st quintile",NA,NA,NA,NA,"4th quintile"
"0c40b69430a73a5eff9503c29979e3d0",10,"0c40b69430a73a5eff9503c29979e3d0","EMEB PROFESSORA MARIA QUEIROZ FERRO","7 ANO D","7 ano","anos finais","F",13,"Parda",NA,NA,"P3031","Controle",NA,12,23,29,12,82,2,NA,80,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,3.55555555555555,2.77777777777778,3.55555555555555,3,3.66666666666667,2.55555555555555,3.55555555555555,2.66666666666667,11,-17,NA,NA,NA,NA,-1,-0.777777777777778,-0.555555555555555,-1.11111111111111,-0.888888888888889,"1st quintile","2nd quintile","2nd quintile","3rd quintile",NA,"2nd quintile",NA,NA,NA,NA,"1st quintile"
"1091732ec104143562df0b06cc991bd9",11,"1091732ec104143562df0b06cc991bd9","EMEB NATANAEL DA SILVA","9 ANO B","9 ano","anos finais","M",17,"Parda","Rural",NA,"P628","Controle",NA,31,32,42,50,130,0,0,130,452,0,0,452,2,117,1,2,114,452,2,2,448,5,3.44444444444445,NA,3.66666666666667,NA,3.77777777777778,NA,4,NA,1,8,-13,-16,0,-4,3,NA,NA,NA,NA,"4th quintile","3rd quintile","5th quintile","2nd quintile","3rd quintile","5th quintile","3rd quintile","1st quintile","3rd quintile","5th quintile","1st quintile"
